key,english,chinese
moldVisible,Visible mold or moisture,可見黴菌或潮濕
leakingPipes,Water damage or leaks,水損或漏水
noVentilation,Poor ventilation,通風不良
pestDroppings,Signs of pests or droppings,害蟲或糞便跡象
electrical,Unsafe or exposed electrical wiring,不安全或裸露的電線
tripHazards,"Trip hazards (e.g. loose rugs, cords)",絆倒危險（如鬆動的地毯、電線）
leadPaint,Possible lead paint (pre-1978 surfaces),可能含鉛油漆（1978年前的表面）
noSmokeAlarm,Missing or non-functional smoke detectors,缺失或失效的煙霧探測器
noCOAlarm,No carbon monoxide detector,沒有一氧化碳探測器
poorLighting,Insufficient lighting,照明不足
coldDrafts,Cold drafts or inadequate heating,冷風或供暖不足
overheating,Excessive indoor heat with poor ventilation,室內過熱且通風不良
asbestos,Suspected asbestos materials,疑似含石棉材料
clutter,Excessive clutter or hoarding risk,過度雜亂或囤積風險
noHotWater,No or unreliable hot water,無熱水或熱水不穩定
unsafeStairs,Unsafe stairs or railings,樓梯或扶手不安全
waterHazards,"Unfenced pools, spas, or standing water hazards",未圍欄的游泳池、水療池或積水危險
structuralDamage,"Cracks, sagging ceilings, or structural damage",裂縫、天花板下垂或結構損壞
otherHazards,Other health or safety risks,其他健康或安全風險
windowSafety,Windows above ground floor without guards/stops,地面以上窗戶無防護欄或限位器
unstoredChemicals,Cleaning supplies/chemicals accessible to children,清潔用品或化學品可被兒童接觸到
radonRisk,No radon testing in high-risk areas,高風險地區未進行氡氣檢測
fireEscape,Blocked exits or inadequate escape routes,出口堵塞或逃生路線不足
flammableStorage,Improper storage of flammable materials,易燃材料存放不當
indoorPollution,"Indoor air pollution sources (smoking, chemicals)",室內空氣污染源（吸煙、化學品）
petDander,Excessive pet allergens with sensitive residents,有過敏體質者接觸過多寵物過敏原
fallPrevention,"Lack of grab bars, non-slip surfaces",缺少扶手、防滑表面
